id,country_id,region_id,city,latitude,longitude,time_zone
3595,49,586,Wuchi Town,0,0,+08:00
3596,49,1344,WUHAN,30.58,114.26,+08:00
3597,49,1336,WUXI,28.28,110.16,+08:00
3598,49,1339,XIAMEN,24.45,118.08,+08:00
3599,49,1336,YANGZHOU,32.38,119.43,+08:00
3600,49,1356,YANTAI,37.53,121.4,+08:00
3601,49,1350,YINGKOU,40.66,122.28,+08:00
3602,49,1343,YUEYANG,29.38,113.1,+08:00
3603,49,586,Yungho City,0,0,+08:00
3604,49,1344,YUSHU,32.11,112.88,+08:00
3605,49,1341,ZHENGZHOU,34.76,113.65,+08:00
3606,49,1349,ZHENJIANG,26.66,108.52,+08:00
3607,49,1334,ZHOUSHAN,30.02,122.09,+08:00
3608,49,1361,ZHUHAI,22.28,113.56,+08:00
3609,49,1356,ZIBO,36.8,118.05,+08:00
3610,49,1358,ZIGONG,29.4,104.78,+08:00
3611,53,1401,Armenia,7.13,-73.37,-05:00
3612,53,1401,Barranquilla,10.98,-74.8,-05:00
3614,53,1419,Bucaramanga,7.13,-73.12,-05:00
3615,53,1422,Cali,3.44,-76.51,-05:00
3617,53,1398,Cartagena,9.68,-73.26,-05:00
3619,53,1403,Honda,1.85,-76.81,-05:00
3620,53,1421,Ibague,4.43,-75.22,-05:00
3621,53,1430,Manizales,5.08,-75.5,-05:00
3622,53,1399,Medellin,6.25,-75.58,-05:00
3623,53,1403,Popayan,8.67,-76.2,-05:00
3624,53,1431,Santa Marta,3.05,-76.56,-05:00
3625,53,1411,Sincelejo,10.95,-72.7,-05:00
3626,53,1414,Tunja,8.19,-73.25,-05:00
3627,59,1433,Cartago,9.86,-83.91,-06:00
3628,59,1434,Ciudad Quesada,10.33,-84.43,-06:00
3629,59,1438,Escazu,9.91,-84.13,-06:00
3630,59,1435,Heredia,10,-84.11,-06:00
3631,59,1437,Jaco,9.61,-84.63,-06:00
3632,59,1434,Liberia,10.63,-85.43,-06:00
3634,59,1438,San Jose,9.93,-84.08,-06:00
3635,59,1438,San Ramon,9.41,-83.73,-06:00
3636,59,1433,Turrialba,9.9,-83.68,-06:00
